,pH,Temp,Current,passorfail,NG
229,10.98,43.48,8.19,,1.0
230,10.65,42.09,8.59,,1.0
231,10.03,44.89,7.59,,1.0
232,11.78,45.06,6.29,,1.0
233,10.8,44.52,7.17,,1.0
234,9.59,42.66,8.44,,1.0
235,10.78,46.02,7.57,,1.0
236,10.34,47.07,8.56,,1.0
237,9.64,43.89,7.6,,1.0
238,9.65,45.57,7.57,,1.0
239,10.4,43.83,8.09,,1.0
240,10.22,46.77,8.11,,1.0
241,9.69,44.15,8.34,,1.0
242,9.6,47.02,7.21,,1.0
243,9.55,42.11,7.48,,1.0
244,9.91,44.23,8.49,,1.0
245,10.88,46.81,8.13,,1.0
246,10.62,42.98,8.79,,1.0
247,10.98,43.98,8.04,,1.0
248,9.59,46.85,8.46,,1.0
249,10.67,46.9,8.48,,1.0
250,10.54,43.47,7.44,,1.0
251,9.98,47.2,8.75,,1.0
252,10.92,44.58,7.22,,1.0
253,10.55,44.82,7.52,,1.0
254,10.35,42.29,8.03,,1.0
255,10.59,43.57,8.38,,1.0
256,10.97,46.01,7.32,,1.0
257,9.96,44.39,7.48,,1.0
258,10.34,47.85,8.72,,1.0
259,11.78,45.06,6.29,,1.0
260,9.76,44.84,8.64,,1.0
261,9.66,45.0,7.73,,1.0
262,9.83,46.51,7.17,,1.0
263,10.59,43.58,8.82,,1.0
264,10.31,43.2,8.11,,1.0
265,10.54,47.55,7.01,,1.0
266,10.21,44.02,8.95,,1.0
267,10.62,46.43,8.51,,1.0
268,10.95,46.78,7.97,,1.0
269,10.73,45.93,8.84,,1.0
270,10.15,45.31,8.87,,1.0
271,10.21,45.45,7.4,,1.0
272,9.82,46.22,8.84,,1.0
273,10.88,45.42,8.4,,1.0
274,10.77,47.15,8.03,,1.0
275,11.78,45.06,6.29,,1.0
276,10.03,47.33,8.92,,1.0
277,10.64,44.22,8.42,,1.0
278,11.11,47.03,7.86,,1.0
279,10.05,43.46,7.41,,1.0
280,10.78,44.7,7.01,,1.0
281,10.5,45.32,8.92,,1.0
282,10.54,47.4,8.0,,1.0
283,10.09,44.48,7.04,,1.0
284,10.75,45.55,7.35,,1.0
285,9.89,46.03,7.03,,1.0
286,10.43,43.28,8.9,,1.0
287,10.45,46.12,8.08,,1.0
288,10.04,47.44,7.23,,1.0
289,10.55,45.89,7.85,,1.0
290,9.75,47.25,8.06,,1.0
291,9.88,44.84,8.87,,1.0
292,9.94,43.35,8.1,,1.0
293,9.54,44.36,7.57,,1.0
294,10.75,46.53,8.02,,1.0
295,9.98,43.15,8.84,,1.0
296,10.8,43.5,7.45,,1.0
297,10.87,45.95,7.98,,1.0
298,10.38,45.76,8.41,,1.0
299,10.55,46.05,8.2,,1.0
300,9.59,47.97,7.8,,1.0
301,10.1,43.07,7.89,,1.0
302,10.39,47.74,7.55,,1.0
303,10.22,45.65,7.84,,1.0
304,9.8,47.18,7.22,,1.0
305,9.51,45.64,8.73,,1.0
306,10.11,42.24,8.7,,1.0
307,9.92,42.57,7.59,,1.0
308,9.58,47.54,7.76,,1.0
309,10.24,47.25,7.83,,1.0
310,10.51,44.8,8.65,,1.0
311,10.48,44.76,7.61,,1.0
312,10.72,45.63,7.21,,1.0
313,10.71,44.62,7.31,,1.0
314,9.77,47.61,8.12,,1.0
315,9.93,45.87,8.46,,1.0
316,10.04,42.01,7.09,,1.0
317,10.12,47.11,7.71,,1.0
318,10.11,45.84,7.47,,1.0
319,10.69,47.89,7.71,,1.0
320,9.81,42.6,8.46,,1.0
321,10.42,47.63,7.76,,1.0
322,10.78,47.29,8.93,,1.0
323,10.66,43.7,7.77,,1.0
324,9.78,42.71,8.1,,1.0
325,10.55,42.38,8.35,,1.0
326,10.54,46.1,8.48,,1.0
327,10.11,47.7,8.75,,1.0
328,9.55,42.17,8.69,,1.0
329,10.84,47.53,7.14,,1.0
330,9.77,46.99,8.25,,1.0
331,10.59,46.49,8.03,,1.0
332,10.87,45.74,8.22,,1.0
333,10.65,45.3,7.23,,1.0
334,10.51,42.48,8.07,,1.0
335,10.54,44.22,7.48,,1.0
336,10.84,46.24,7.25,,1.0
337,10.32,46.7,8.61,,1.0
338,10.73,46.32,8.72,,1.0
339,10.93,47.11,7.82,,1.0
340,10.52,46.04,8.85,,1.0
341,9.82,43.92,7.78,,1.0
342,10.62,45.84,8.78,,1.0
343,10.63,45.26,8.27,,1.0
344,9.79,42.96,8.18,,1.0
345,10.9,46.48,7.31,,1.0
346,9.93,46.24,8.03,,1.0
347,10.04,45.35,8.61,,1.0
348,10.68,46.42,7.48,,1.0
349,9.85,45.69,8.49,,1.0
350,10.85,44.49,8.56,,1.0
351,10.74,44.31,8.89,,1.0
352,9.79,44.4,7.43,,1.0
353,10.13,42.18,8.02,,1.0
354,9.68,42.8,7.69,,1.0
355,10.14,42.62,7.62,,1.0
356,9.95,42.8,8.54,,1.0
357,10.5,43.59,7.36,,1.0
358,9.85,43.72,8.03,,1.0
359,10.93,46.9,8.08,,1.0
360,9.71,44.17,8.23,,1.0
361,10.11,43.72,8.48,,1.0
362,10.28,42.06,7.48,,1.0
363,9.55,42.58,7.79,,1.0
364,10.33,43.98,7.27,,1.0
365,10.36,45.76,7.15,,1.0
366,9.73,42.56,7.54,,1.0
367,9.64,47.12,8.38,,1.0
368,10.54,43.77,7.37,,1.0
369,9.79,45.46,8.65,,1.0
370,10.87,42.56,8.97,,1.0
371,10.08,42.77,7.33,,1.0
372,10.38,43.46,7.93,,1.0
373,9.7,47.52,7.97,,1.0
374,10.33,45.59,8.18,,1.0
375,10.69,44.54,7.42,,1.0
376,10.74,44.28,8.73,,1.0
377,10.62,47.41,8.43,,1.0
378,9.7,42.23,7.84,,1.0
379,9.81,44.13,8.23,,1.0
380,10.43,44.28,7.8,,1.0
381,10.77,45.5,7.14,,1.0
382,10.45,46.97,8.11,,1.0
383,9.92,45.12,7.63,,1.0
384,10.88,46.67,8.18,,1.0
385,9.53,43.05,8.26,,1.0
386,10.28,44.27,7.38,,1.0
387,10.4,47.74,8.03,,1.0
388,9.73,47.41,8.09,,1.0
389,9.95,44.33,7.73,,1.0
390,10.37,44.6,8.22,,1.0
391,9.95,45.31,7.22,,1.0
392,10.07,45.9,7.78,,1.0
393,10.2,45.44,7.28,,1.0
394,9.8,45.83,7.07,,1.0
395,10.07,43.63,7.83,,1.0
396,10.89,45.09,8.56,,1.0
397,10.36,43.73,8.04,,1.0
398,9.6,46.08,8.33,,1.0
399,10.24,45.54,8.78,,1.0
400,10.06,47.81,8.13,,1.0
401,10.45,46.88,7.54,,1.0
402,10.65,43.34,7.26,,1.0
403,10.41,46.71,8.1,,1.0
404,10.21,45.19,8.73,,1.0
405,10.57,47.05,8.14,,1.0
406,10.71,45.47,8.69,,1.0
407,10.38,44.75,8.27,,1.0
408,10.82,43.48,7.48,,1.0
409,9.75,46.25,8.03,,1.0
410,9.57,45.59,7.61,,1.0
411,10.55,42.79,7.22,,1.0
412,10.21,44.22,7.6,,1.0
413,10.78,46.74,7.73,,1.0
414,10.95,47.64,8.14,,1.0
415,10.48,47.65,7.56,,1.0
416,10.23,45.43,7.95,,1.0
417,10.04,46.93,7.69,,1.0
418,10.0,45.41,7.8,,1.0
419,10.27,42.71,7.15,,1.0
420,10.5,45.71,8.57,,1.0
421,9.86,46.48,8.9,,1.0
422,9.95,46.54,7.76,,1.0
423,10.26,46.06,8.41,,1.0
424,10.56,44.55,7.14,,1.0
425,10.3,43.41,8.49,,1.0
426,9.63,43.78,7.83,,1.0
427,9.7,43.93,8.22,,1.0
428,10.25,47.33,7.49,,1.0
429,10.18,47.39,8.35,,1.0
430,11.7,45.97,7.27,,1.0
431,9.9,44.8,7.15,,1.0
432,9.93,47.33,7.86,,1.0
433,11.55,42.33,7.11,,1.0
434,10.88,43.75,8.81,,1.0
435,9.79,45.23,7.63,,1.0
436,10.3,44.08,8.87,,1.0
437,9.83,43.28,8.99,,1.0
438,10.62,46.88,8.84,,1.0
439,10.57,44.88,7.65,,1.0
440,10.96,47.61,8.89,,1.0
441,10.42,43.94,7.93,,1.0
442,10.49,45.18,8.13,,1.0
443,10.25,47.15,7.9,,1.0
444,10.26,43.77,7.99,,1.0
445,10.95,44.88,7.95,,1.0
446,9.62,43.58,7.19,,1.0
447,9.75,45.84,7.42,,1.0
448,10.61,43.62,8.86,,1.0
449,10.43,44.21,7.4,,1.0
450,10.62,45.4,7.68,,1.0
451,9.98,46.91,8.87,,1.0
452,10.89,43.85,8.64,,1.0
453,9.8,42.07,8.42,,1.0
454,9.79,46.63,7.74,,1.0
455,9.84,43.03,7.05,,1.0
456,9.62,42.46,8.96,,1.0
457,9.81,44.71,7.68,,1.0
458,10.18,47.32,7.31,,1.0
459,10.71,44.77,8.48,,1.0
460,10.65,45.02,7.04,,1.0
461,9.63,46.05,7.87,,1.0
462,10.39,44.65,7.73,,1.0
463,10.8,45.73,7.07,,1.0
464,9.72,44.5,7.49,,1.0
465,10.5,42.02,8.81,,1.0
466,10.19,42.28,8.57,,1.0
467,10.29,43.3,8.35,,1.0
468,9.84,45.1,8.95,,1.0
469,10.98,42.6,8.89,,1.0
470,10.23,44.28,8.16,,1.0
471,10.11,46.43,8.46,,1.0
472,10.05,42.39,8.77,,1.0
473,10.3,43.84,7.84,,1.0
474,10.05,43.63,7.7,,1.0
475,9.54,43.66,7.82,,1.0
476,9.77,44.93,8.77,,1.0
477,10.86,43.05,8.74,,1.0
478,10.13,45.19,8.97,,1.0
479,11.31,45.26,8.04,,1.0
480,10.38,44.81,8.94,,1.0
481,10.78,47.76,7.36,,1.0
482,9.95,44.42,7.95,,1.0
483,10.06,46.36,8.32,,1.0
484,10.12,43.79,8.75,,1.0
485,9.67,42.65,7.55,,1.0
486,9.54,45.41,6.0,,1.0
487,10.4,46.09,8.51,,1.0
488,10.42,44.38,7.8,,1.0
489,10.74,44.16,7.73,,1.0
490,10.4,43.86,8.43,,1.0
491,10.31,47.53,7.35,,1.0
492,10.69,46.59,7.85,,1.0
493,9.52,46.42,8.76,,1.0
494,10.23,43.66,7.41,,1.0
495,10.04,42.92,8.57,,1.0
496,10.3,47.2,8.09,,1.0
497,9.56,47.88,7.81,,1.0
498,10.78,44.66,8.92,,1.0
499,10.18,46.68,8.01,,1.0
500,9.58,43.1,7.64,,1.0
501,9.96,47.14,8.0,,1.0
502,10.62,43.42,7.19,,1.0
503,10.05,45.28,8.11,,1.0
504,10.15,43.85,7.05,,1.0
505,10.89,42.92,7.85,,1.0
506,9.58,46.81,8.7,,1.0
507,9.56,45.97,7.2,,1.0
508,10.19,44.39,7.83,,1.0
509,9.99,45.99,8.01,,1.0
510,10.93,46.13,7.44,,1.0
511,10.96,46.13,7.84,,1.0
512,10.92,44.93,8.73,,1.0
513,9.82,42.82,8.23,,1.0
514,10.67,47.19,8.22,,1.0
515,10.15,44.18,8.09,,1.0
516,10.28,44.17,7.75,,1.0
517,9.51,44.67,8.29,,1.0
518,10.65,47.15,5.96,,1.0
519,10.63,44.43,7.42,,1.0
520,10.83,47.16,8.59,,1.0
521,10.28,47.04,7.69,,1.0
522,10.79,43.92,7.96,,1.0
523,9.81,47.07,7.8,,1.0
524,10.16,47.22,7.62,,1.0
525,10.47,43.44,7.02,,1.0
526,10.73,42.27,8.66,,1.0
527,9.85,45.74,7.53,,1.0
528,10.12,43.53,7.7,,1.0
529,10.83,42.9,8.46,,1.0
530,10.41,43.98,8.58,,1.0
531,11.89,45.1,8.33,,1.0
532,9.67,45.99,8.91,,1.0
533,10.42,46.53,8.67,,1.0
534,10.26,45.51,8.0,,1.0
535,9.59,44.3,8.01,,1.0
536,10.9,43.45,8.04,,1.0
537,9.85,43.36,8.7,,1.0
538,10.49,42.13,7.85,,1.0
539,10.08,43.95,8.92,,1.0
540,10.87,43.52,7.85,,1.0
541,10.25,43.3,7.54,,1.0
542,10.22,42.78,7.88,,1.0
543,9.68,44.55,8.25,,1.0
544,10.84,44.02,8.36,,1.0
545,9.8,43.63,7.83,,1.0
546,9.9,43.2,8.65,,1.0
547,10.24,44.25,8.05,,1.0
548,10.35,45.65,8.16,,1.0
549,10.68,47.86,8.7,,1.0
550,9.59,43.95,7.24,,1.0
551,10.87,45.86,8.31,,1.0
552,10.21,45.04,7.91,,1.0
553,9.78,47.28,7.16,,1.0
554,10.06,45.07,8.07,,1.0
555,10.72,46.26,7.26,,1.0
556,9.87,46.27,7.77,,1.0
557,10.55,43.04,8.25,,1.0
558,10.33,44.93,7.3,,1.0
559,10.53,42.78,7.12,,1.0
560,11.97,44.71,8.27,,1.0
561,9.87,43.69,7.76,,1.0
562,10.4,45.16,7.17,,1.0
563,9.94,44.42,7.1,,1.0
564,11.97,44.71,8.27,,1.0
565,10.55,42.4,7.87,,1.0
566,10.16,45.89,8.0,,1.0
567,10.21,42.74,8.58,,1.0
568,9.61,45.69,7.54,,1.0
569,9.77,43.9,7.37,,1.0
570,9.91,43.12,8.22,,1.0
571,9.54,47.66,7.81,,1.0
572,10.02,44.33,8.1,,1.0
573,11.97,44.71,8.27,,1.0
574,10.73,47.3,8.27,,1.0
575,9.81,46.95,7.07,,1.0
576,10.31,43.93,8.06,,1.0
577,10.79,43.77,7.95,,1.0
578,9.85,45.85,7.54,,1.0
579,9.66,44.62,7.87,,1.0
580,9.88,43.26,7.65,,1.0
581,10.38,43.84,8.04,,1.0
582,10.42,43.12,7.78,,1.0
583,9.77,43.35,7.27,,1.0
584,10.91,42.31,7.6,,1.0
585,10.48,45.66,7.43,,1.0
586,10.65,42.2,7.11,,1.0
587,9.89,43.32,7.33,,1.0
588,10.34,44.17,7.7,,1.0
589,10.28,46.55,8.04,,1.0
590,10.38,46.46,8.35,,1.0
591,10.48,46.03,8.84,,1.0
592,10.14,47.82,8.43,,1.0
593,10.15,45.07,8.61,,1.0
594,9.72,45.12,7.98,,1.0
595,10.15,44.05,7.3,,1.0
596,9.82,45.2,7.6,,1.0
597,10.58,46.26,8.15,,1.0
598,10.23,45.43,7.31,,1.0
599,10.59,44.46,8.99,,1.0
600,11.97,44.71,8.27,,1.0
601,10.56,43.21,8.63,,1.0
602,10.73,43.47,7.54,,1.0
603,10.63,44.64,7.95,,1.0
604,9.96,43.83,7.6,,1.0
605,10.37,43.73,7.37,,1.0
606,10.41,42.16,8.95,,1.0
607,10.37,44.58,8.51,,1.0
608,10.04,43.12,7.4,,1.0
609,10.32,43.5,8.82,,1.0
610,9.85,45.48,7.35,,1.0
611,10.67,45.94,8.76,,1.0
612,10.01,43.72,8.1,,1.0
613,10.81,44.97,7.49,,1.0
614,10.34,43.85,7.86,,1.0
615,9.75,45.45,8.43,,1.0
616,9.88,47.94,7.35,,1.0
617,10.76,45.27,8.45,,1.0
618,9.56,43.62,7.55,,1.0
619,10.79,44.41,7.4,,1.0
620,10.55,42.73,7.31,,1.0
621,10.91,43.35,7.87,,1.0
622,10.8,44.99,8.81,,1.0
623,9.6,45.25,7.38,,1.0
624,10.84,43.94,8.43,,1.0
625,10.26,47.53,8.8,,1.0
626,10.91,47.76,7.58,,1.0
627,10.74,44.59,8.48,,1.0
628,9.53,46.75,7.57,,1.0
629,9.84,43.01,7.62,,1.0
630,10.35,46.39,7.96,,1.0
631,10.27,45.7,8.69,,1.0
632,10.13,46.62,7.13,,1.0
633,10.95,45.58,7.37,,1.0
634,10.08,45.88,8.35,,1.0
635,10.73,47.17,8.35,,1.0
636,9.72,43.97,7.24,,1.0
637,10.3,43.27,8.87,,1.0
638,9.51,42.5,8.95,,1.0
639,10.2,47.44,7.44,,1.0
640,10.77,42.77,8.17,,1.0
641,10.19,47.93,7.87,,1.0
642,10.76,46.25,8.72,,1.0
643,10.7,44.82,8.08,,1.0
644,10.85,43.59,8.78,,1.0
645,10.33,42.36,7.42,,1.0
646,10.56,42.55,8.06,,1.0
647,9.91,42.96,8.85,,1.0
648,10.13,45.43,8.33,,1.0
649,9.63,46.86,7.91,,1.0
650,9.51,44.44,7.77,,1.0
651,10.69,44.12,7.3,,1.0
652,10.01,42.67,7.08,,1.0
653,10.28,44.84,8.96,,1.0
654,9.59,43.38,7.26,,1.0
655,9.96,47.38,7.32,,1.0
656,9.71,44.5,8.23,,1.0
657,9.69,44.13,8.28,,1.0
658,10.74,45.54,8.54,,1.0
659,10.53,44.56,8.17,,1.0
660,10.99,44.75,8.78,,1.0
661,10.65,43.54,8.66,,1.0
662,10.28,43.69,8.09,,1.0
663,10.25,46.75,8.26,,1.0
664,10.95,45.57,8.6,,1.0
665,10.67,47.4,7.59,,1.0
666,10.85,46.69,8.2,,1.0
667,9.69,43.09,7.95,,1.0
668,10.32,46.68,8.46,,1.0
669,10.01,42.59,8.33,,1.0
670,10.95,47.16,8.38,,1.0
671,9.79,45.09,7.55,,1.0
672,9.88,46.45,7.84,,1.0
673,10.99,42.88,7.2,,1.0
674,10.81,47.96,7.29,,1.0
675,9.53,43.28,7.65,,1.0
676,9.58,44.81,8.56,,1.0
677,10.93,44.05,7.52,,1.0
678,10.82,45.48,7.44,,1.0
679,9.7,47.82,7.19,,1.0
680,10.96,42.72,7.7,,1.0
681,10.08,44.93,8.78,,1.0
682,9.76,43.82,8.43,,1.0
683,10.36,42.23,8.81,,1.0
684,10.82,43.07,7.94,,1.0
685,9.85,42.19,8.23,,1.0
686,10.73,42.04,8.51,,1.0
687,10.42,42.66,8.18,,1.0
688,10.09,44.23,8.61,,1.0
689,9.98,46.07,7.77,,1.0
690,9.7,45.85,7.75,,1.0
691,9.84,45.65,7.07,,1.0
692,9.66,45.93,7.49,,1.0
693,10.6,47.54,8.53,,1.0
694,10.55,46.83,7.01,,1.0
695,9.57,45.82,8.4,,1.0
696,10.35,46.32,8.62,,1.0
697,10.02,46.55,8.54,,1.0
698,10.84,44.37,8.63,,1.0
699,9.94,43.02,7.56,,1.0
700,10.4,42.97,8.55,,1.0
701,10.0,47.57,7.35,,1.0
702,10.2,45.34,7.48,,1.0
703,10.79,46.89,8.35,,1.0
704,10.95,43.96,7.42,,1.0
705,10.34,46.84,8.23,,1.0
706,10.07,46.21,7.46,,1.0
707,9.8,44.12,7.87,,1.0
708,9.6,45.14,7.43,,1.0
709,10.21,43.78,7.97,,1.0
710,9.68,44.4,7.63,,1.0
711,9.99,43.01,7.06,,1.0
712,10.08,44.43,7.09,,1.0
713,10.72,47.94,7.41,,1.0
714,10.14,47.37,7.41,,1.0
715,9.78,42.1,8.02,,1.0
716,10.81,46.92,7.46,,1.0
717,10.03,45.78,8.65,,1.0
718,10.75,43.36,8.12,,1.0
719,10.44,45.95,7.32,,1.0
720,10.91,43.31,7.62,,1.0
721,10.29,45.57,8.1,,1.0
722,10.23,46.87,7.36,,1.0
723,10.47,45.75,7.25,,1.0
724,9.83,46.01,7.76,,1.0
725,10.23,46.76,8.17,,1.0
726,10.34,44.84,8.53,,1.0
727,10.63,45.7,8.58,,1.0
728,9.52,46.29,8.57,,1.0
729,9.65,45.5,7.12,,1.0
730,10.82,47.15,8.42,,1.0
731,9.55,43.45,8.53,,1.0
732,10.09,45.19,7.28,,1.0
733,9.69,44.64,8.92,,1.0
